PM490	ARUDY	SRO-BPI-13177057
PM491	REBENACQ	SRO-BPI-11658558
PM492	BUZY	SRO-BPI-11439455
PM493	LYS	SRO-BPI-11669054
PM494	SEVIGNACQ-MEYRACQ	SRO-BPI-11668997
PM495	LARUNS	SRO-BPI-12837318
PM498	EAUX-BONNES	SRO-BPI-12909417
PM499	EAUX-BONNES	SRO-BPI-12909497
PM500	EAUX-BONNES	SRO-BPI-12909537
PM501	EAUX-BONNES	SRO-BPI-12909917
PM502	EAUX-BONNES	SRO-BPI-12909958
PM503	LARUNS	SRO-BPI-13164637
PM504	EAUX-BONNES	SRO-BPI-12909977
PM505	LOUVIE SOUBIRON	SRO-BPI-13375437
PM506	LARUNS	SRO-BPI-12812737
PM507	LARUNS	SRO-BPI-12812857
PM509	GERE-BELESTEN	SRO-BPI-11662138
PM510	ASTE-BEON	SRO-BPI-11667314
PM511	BIELLE	SRO-BPI-13707957
PM512	MONT	SRO-BPI-12408617
PM513	MONT	SRO-BPI-11699034
PM514	MASLACQ	SRO-BPI-12345497
PM515	MASLACQ	SRO-BPI-11650655
PM516	SAUVELADE	SRO-BPI-13064457
PM517	LUCGARIER	SRO-BPI-12421378
PM518	ANDOINS	SRO-BPI-12344278
PM519	NOUSTY	SRO-BPI-12404478
PM521	SUHESCUN	SRO-BPI-12502177
PM522	AAST	SRO-BPI-12372158
PM523	ESPOEY	SRO-BPI-13565217
PM524	NAY	SRO-BPI-12346177
PM525	LOUBIENG	SRO-BPI-12504277
PM530	ARTIX	SRO-BPI-12374957
PM531	ARTIX	SRO-BPI-12375957
PM532	SERRES-SAINTE-MARIE	SRO-BPI-12392177
PM533	ARTIX	SRO-BPI-12376537
PM534	ARTIX	SRO-BPI-12376820
PM535	ARTIX	SRO-BPI-12376919
PM536	ARTIX	SRO-BPI-12377857
PM537	LABASTIDE-CEZERACQ	SRO-BPI-12317536
PM538	LABASTIDE-MONREJEAU	SRO-BPI-12317556
PM539	CESCAU	SRO-BPI-12318176
PM540	BUROS	SRO-BPI-12749797
PM541	BUROS	SRO-BPI-13071617
PM542	MAUCOR	SRO-BPI-11702756
PM543	SERRES-MORLAAS	SRO-BPI-12446718
PM544	MORLAAS	SRO-BPI-11702795
PM545	MORLAAS	SRO-BPI-11702806
PM546	GABASTON	SRO-BPI-12747137
PM547	MORLAAS	SRO-BPI-12484317
PM548	MORLAAS	SRO-BPI-11702854
PM549	MORLAAS	SRO-BPI-12484279
PM550	MORLAAS	SRO-BPI-11703015
PM551	MORLAAS	SRO-BPI-11702934
PM552	OUILLON	SRO-BPI-12575977
PM553	SAINT LAURENT BRETAGNE	SRO-BPI-11793134
PM554	SAINT JAMMES	SRO-BPI-12416137
PM555	SEDZERE	SRO-BPI-11792899
PM556	ARTHEZ-D'ASSON	SRO-BPI-12517037
PM557	ASSON	SRO-BPI-12428337
PM558	ASSON	SRO-BPI-12428377
PM559	BRUGES-CAPBIS-MIFAGET	SRO-BPI-13290257
PM560	BRUGES-CAPBIS-MIFAGET	SRO-BPI-13290337
PM561	LABATMALE	SRO-BPI-12931477
PM562	PONTACQ	SRO-BPI-12728397
PM563	PONTACQ	SRO-BPI-12729037
PM564	PONTACQ	SRO-BPI-12499757
PM565	BARZUN	SRO-BPI-12593577
PM566	PONTACQ	SRO-BPI-12499857
PM567	MONTANER	SRO-BPI-13071517
PM568	LAMAYOU	SRO-BPI-12579097
